1636928285240,REMOVED,b@gmail.com-,WOWOOWOWOW,EXXXXX,2021-11-14T23:39:45.754352
1636931042059,a@gmail.com,-,owoow,eee,2021-11-15T00:04:02.067622700
1636931095583,j@gmail.com,a@gmail.com-,dfdsf,ggg,2021-11-15T00:04:55.590772500
1636931186792,j@gmail.com,a@gmail.com-,dsg,dsg,2021-11-15T00:06:26.799225700
1636931399127,a@gmail.com,b@gmail.com-,dsgdsg,ewwr,2021-11-15T00:09:59.135599
1636931446402,b@gmail.com,a@gmail.com-,safasf,wqrqwr,2021-11-15T00:10:46.402618200
1638532386181,a@gmail.com,g@gmail.com-,Info,WEEEEE  PIPPO BAUDO,2021-12-03T12:53:06.190997
1638880000275,b@gmail.com,-,OGGETTO4,CONTENUTO 4,2021-12-07T13:26:40.288550300
1639045932148,b@gmail.com,a@gmail.com-,OGGETTO5,CONTENUTO 5,2021-12-09T11:32:12.160704100
1639046910265,b@gmail.com,,OGGETTO5,CONTENUTO 5,2021-12-09T11:48:30.279965300
1639047664861,b@gmail.com,a@gmail.com-,OGGETTO5,CONTENUTO 5,2021-12-09T12:01:04.874785300
1639047945946,b@gmail.com,a@gmail.com-,OGGETTO5,CONTENUTO 5,2021-12-09T12:05:45.959595800
1639049053119,b@gmail.com,,OGGETTO5,CONTENUTO 5,2021-12-09T12:24:13.132191700
1639049992907,b@gmail.com,-,OGGETTO5,CONTENUTO 5,2021-12-09T12:39:52.920986600
